filename,transcript
plate_0000.jpg,TN08ZV9395
plate_0001.jpg,MH23XA2711
plate_0002.jpg,GJ91LK6552
plate_0003.jpg,GJ60DN0401
plate_0004.jpg,MH05HB8721
plate_0005.jpg,MH52GI2895
plate_0006.jpg,DL88BA6449
plate_0007.jpg,GJ36EX6635
plate_0008.jpg,DL09BQ7267
plate_0009.jpg,DL98NF4548
plate_0010.jpg,TN39ED7919
plate_0011.jpg,GJ07JG9145
plate_0012.jpg,DL03VO3769
plate_0013.jpg,MH55TD2491
plate_0014.jpg,TN07XF1854
plate_0015.jpg,KA74IS5438
plate_0016.jpg,KA10PB0573
plate_0017.jpg,DL18OK7253
plate_0018.jpg,KA59DW7043
plate_0019.jpg,KA26WP9881
plate_0020.jpg,MH14QI6747
plate_0021.jpg,MH21JJ4226
plate_0022.jpg,MH06TB1483
plate_0023.jpg,MH73ZH5814
plate_0024.jpg,GJ50RR5253
plate_0025.jpg,MH76PM2401
plate_0026.jpg,TN96TV0985
plate_0027.jpg,DL66WL7308
plate_0028.jpg,TN18SJ6241
plate_0029.jpg,KA65LT2408
plate_0030.jpg,TN32NS5301
plate_0031.jpg,KA83YE9219
plate_0032.jpg,TN16DC6871
plate_0033.jpg,KA49AG4833
plate_0034.jpg,GJ98VK2130
plate_0035.jpg,KA18MQ6950
plate_0036.jpg,DL77TK0087
plate_0037.jpg,MH29CS1207
plate_0038.jpg,TN15TV1646
plate_0039.jpg,MH40CG5029
plate_0040.jpg,GJ24WL8881
plate_0041.jpg,GJ62WP2484
plate_0042.jpg,DL52AU1344
plate_0043.jpg,KA09KC5190
plate_0044.jpg,MH21ZY6607
plate_0045.jpg,KA84HM7896
plate_0046.jpg,GJ74IQ6389
plate_0047.jpg,DL10QH5177
plate_0048.jpg,GJ10CZ4215
plate_0049.jpg,GJ98LW6731
plate_0050.jpg,GJ63DH9338
plate_0051.jpg,KA34KD3788
plate_0052.jpg,TN47IS4548
plate_0053.jpg,MH57BY5579
plate_0054.jpg,DL02GA7117
plate_0055.jpg,GJ35BE4678
plate_0056.jpg,DL43IL1275
plate_0057.jpg,KA85MJ0849
plate_0058.jpg,GJ83UL1716
plate_0059.jpg,KA30VK2528
plate_0060.jpg,MH21XS1182
plate_0061.jpg,KA76AS1804
plate_0062.jpg,MH22TN5955
plate_0063.jpg,TN36DX7808
plate_0064.jpg,MH24WV6829
plate_0065.jpg,MH44YM9731
plate_0066.jpg,DL40ZO1792
plate_0067.jpg,TN75BB0131
plate_0068.jpg,GJ49EQ6158
plate_0069.jpg,MH20RF0162
plate_0070.jpg,DL44KQ1915
plate_0071.jpg,GJ44QJ8711
plate_0072.jpg,GJ25LJ1420
plate_0073.jpg,GJ61GL2559
plate_0074.jpg,TN43ZE8131
plate_0075.jpg,DL28YE3219
plate_0076.jpg,DL84OK8634
plate_0077.jpg,GJ73MC6945
plate_0078.jpg,TN62WK8498
plate_0079.jpg,GJ10WL7319
plate_0080.jpg,DL17GC6977
plate_0081.jpg,KA54LB0473
plate_0082.jpg,MH22IQ4277
plate_0083.jpg,KA76UO9672
plate_0084.jpg,DL70TU9377
plate_0085.jpg,GJ71SO7685
plate_0086.jpg,GJ35ZF3222
plate_0087.jpg,KA80ZF2432
plate_0088.jpg,MH87SL6881
plate_0089.jpg,DL44QJ3614
plate_0090.jpg,DL05IW4419
plate_0091.jpg,KA05IE3071
plate_0092.jpg,MH68TY9240
plate_0093.jpg,KA07XR9418
plate_0094.jpg,MH33LX5963
plate_0095.jpg,MH31AE1600
plate_0096.jpg,GJ36ZY6969
plate_0097.jpg,GJ97HE2761
